AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
19,Motihari,DUKHIT RAY,Independent,603,-105477,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,SIKANDAR CHAUDHARY,Rashtriya Jansambhavna Party,512,-105568,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,SUSHIL KUMAR,The Plurals Party,323,-105757,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,NOTA,None of the Above,2801,-103279,,214311,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,90572,39360,won,198418,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,LAKSHMI NARAYAN PRASAD YADAV,Rashtriya Janata Dal,51212,-39360,lost,198418,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,ACHCHHELAL PRASAD,Independent,34874,-55698,lost,198418,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,SANJAY KUMAR,Jan Suraaj Party,15590,-74982,lost,198418,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,MUKESH KUMAR,Janshakti Janta Dal,2920,-87652,lost,198418,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,MOHAMMAD MAHTAB ALAM,Samaj Shakti Party,776,-89796,lost,198418,PURVI  CHAMPARAN,GENERAL,2474209
20,Chiraia,NOTA,None of the Above,2474,-88098,,198418,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,FAISAL RAHMAN,Rashtriya Janata Dal,112727,178,won,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,112549,-178,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,DOCTOR L. B. PRASAD,Jan Suraaj Party,8347,-104380,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
